h3,incidents,avg_on_scene,min_on_scene,max_on_scene,geometry
88280692bbfffff,1,10.0,10.0,10.0,"POLYGON ((-123.72741936531287 39.15968526668528, -123.72297000375082 39.163243065181454, -123.72448415163369 39.16783808944682, -123.730447987117 39.168875126361314, -123.73489710073586 39.165317221602514, -123.7333826268656 39.16072238620115, -123.72741936531287 39.15968526668528))"
88281c9439fffff,2,12.0,11.0,13.0,"POLYGON ((-123.98767250530621 41.35848946438205, -123.98314067131304 41.36201591534146, -123.9846981772057 41.36649856795126, -123.99078785339064 41.36745459035271, -123.995319422309 41.363928039930684, -123.99376158017188 41.35944556657963, -123.98767250530621 41.35848946438205))"
88283012d3fffff,1,26.0,26.0,26.0,"POLYGON ((-122.29018393410007 38.00880433131286, -122.28569201447917 38.01234116060672, -122.28713850588863 38.01702661102601, -122.29307725900543 38.01817504828809, -122.29756896718897 38.014638102266574, -122.29612213374178 38.00995283572078, -122.29018393410007 38.00880433131286))"
88283015d1fffff,3,2.3333333333333335,0.0,7.0,"POLYGON ((-122.3649485340833 38.14208084253139, -122.36045553494367 38.145617813688894, -122.36190658393102 38.15029560687981, -122.36785097382953 38.15143624509831, -122.37234375933636 38.147899157990516, -122.3708923686264 38.14322154862462, -122.3649485340833 38.14208084253139))"
882830263dfffff,1,55.0,55.0,55.0,"POLYGON ((-122.74991270702971 38.49579376541388, -122.74542875573528 38.499335933567245, -122.74689862502395 38.503987982122304, -122.75285278349497 38.50509767744757, -122.75733651118661 38.50155539623504, -122.75586630405967 38.49690353276632, -122.74991270702971 38.49579376541388))"
8828302713fffff,1,30.0,30.0,30.0,"POLYGON ((-122.71557769463132 38.51128088825088, -122.71109086710366 38.51482192163497, -122.71255973128453 38.519474254124496, -122.71851576154205 38.52058536849108, -122.72300236615338 38.517044221941, -122.72153316347314 38.51239207420028, -122.71557769463132 38.51128088825088))"
882830358bfffff,1,21.0,21.0,21.0,"POLYGON ((-122.71442906734912 38.4366108695125, -122.70994543196598 38.44015295236904, -122.71141318612175 38.44480854115008, -122.71736491373574 38.445921861978064, -122.72184832655216 38.44237966570781, -122.72038023437085 38.43772426203321, -122.71442906734912 38.4366108695125))"
88283035d5fffff,1,14.0,14.0,14.0,"POLYGON ((-122.71744440708231 38.42841273084043, -122.71296132269086 38.43195501133621, -122.71442906734912 38.4366108695125, -122.72038023437085 38.43772426203321, -122.72486309616501 38.43418186811067, -122.72339501358424 38.429526195104096, -122.71744440708231 38.42841273084043))"
88283080c9fffff,1,11.0,11.0,11.0,"POLYGON ((-122.39734561646776 37.79592213887593, -122.39286964509768 37.79946469728297, -122.39431701477054 37.80415609529993, -122.40024069479227 37.805304749168776, -122.4047164532437 37.80176207375935, -122.40326874464051 37.79707086149342, -122.39734561646776 37.79592213887593))"
8828308281fffff,1,10.0,10.0,10.0,"POLYGON ((-122.41682323684428 37.76882308826447, -122.41234965984782 37.77236651869775, -122.41379734925398 37.777058503890224, -122.41971895414808 37.77820687262237, -122.42419231791125 37.77466332517581, -122.42274429006204 37.769971526020306, -122.41682323684428 37.76882308826447))"
